Título,Tema Principal,Autor(es),Ano,Nota (Goodreads/Amazon)
A Startup Enxuta,"Metodologia Lean Startup, inovação contínua, Produto Mínimo Viável (MVP), aprendizado validado.",Eric Ries,2011,4.19/5 (Goodreads)
Startup: Manual do Empreendedor,"Desenvolvimento de Clientes, validação de ideias, construção de modelo de negócio, jornada do consumidor.",Steve Blank e Bob Dorf,2012,4.11/5 (Goodreads)
Sprint,"Design Sprint, teste rápido de ideias, prototipagem, resolução de problemas em 5 dias.","Jake Knapp, John Zeratsky, Braden Kowitz",2016,4.19/5 (Goodreads)
De Zero a Um,"Inovação disruptiva, criação de monopólios, pensamento original, construção do futuro.",Peter Thiel (com Blake Masters),2014,4.15/5 (Goodreads)
A Estratégia do Oceano Azul,"Criação de novos mercados, inovação de valor, tornar a concorrência irrelevante.",W. Chan Kim e Renée Mauborgne,2004,4.01/5 (Goodreads)
O Dilema da Inovação,"Inovação disruptiva, falha de empresas estabelecidas, gestão da inovação.",Clayton M. Christensen,1997,4.04/5 (Goodreads)
The Invincible Company,"Reinvenção organizacional contínua, gestão de portfólio de negócios, inovação de modelos de negócios.",Alex Osterwalder e Yves Pigneur,2020,4.30/5 (Goodreads)
Os Inovadores,"História da inovação digital, colaboração, mentes criativas, criação do computador e da internet.",Walter Isaacson,2014,4.12/5 (Goodreads)
Os Sete Hábitos das Pessoas Altamente Eficazes,"Desenvolvimento pessoal, eficácia profissional, liderança baseada em princípios, hábitos de sucesso.",Stephen Covey,1989,4.16/5 (Goodreads)
Trabalhe 4 Horas por Semana,"Design de estilo de vida, automação de negócios, mini-aposentadorias, produtividade.",Tim Ferriss,2007,3.91/5 (Goodreads)
Empresas Feitas para Vencer,"Excelência empresarial, liderança de Nível 5, cultura de disciplina, conceito do ouriço.",Jim Collins,2001,4.12/5 (Goodreads)
Fome de Poder,"História do McDonald's, empreendedorismo tardio, automação, franquias, persistência.",Ray Kroc,1977,4.01/5 (Goodreads)
A Regra é Não Ter Regras,"Cultura organizacional, inovação, liberdade e responsabilidade, feedback radical, densidade de talentos.",Reed Hastings e Erin Meyer,2020,4.00/5 (Goodreads)
Hard Things About Hard Things,"Liderança em startups, gestão de crises, tomada de decisões difíceis, cultura empresarial.",Ben Horowitz,2014,4.21/5 (Goodreads)
Hooked: How to Build Habit-Forming Products,"Design de produtos, psicologia do usuário, formação de hábitos, engajamento do cliente.",Nir Eyal,2013,4.12/5 (Goodreads)
A Startup de $100,"Empreendedorismo com baixo capital, transformar paixões em lucro, liberdade pessoal, micro-negócios.",Chris Guillebeau,2012,3.89/5 (Goodreads)
